EmployeeID|Name|Address|City|ZIP|Phone|Email|Role|HireDate|HourlyRate|OvertimeRate|Certifications|LicenseExpirations|Languages
1|Lance Lambert|4299 Sean Road|Kirkland|98033|229.266.9417x9967|lancelambert@cobuilderav.com|Audio/Video Engineer|2020-07-19|104.04|156.06|"Savant Certified Programmer|AMX Certified|First Aid/CPR|Low Voltage License|Control4 Gold Certified"|2023-07-19|English
2|Linda Parker|8599 Sullivan Club Apt. 984|Redmond|98052|867-334-7853|lindaparker@cobuilderav.com|Integration Specialist|2019-11-30|57.49|86.23|"Low Voltage License|KNX Certified"|2021-11-30|English, Spanish
3|Eileen Silva MD|0928 Liu Islands Apt. 102|Kirkland|98034|(627)606-6489x0082|eileensilvamd@cobuilderav.com|Project Manager|2018-04-16|157.0|235.5|"Cisco Network Professional|Electrical Administrator|Crestron Certified Programmer"|2022-04-16|English, Mandarin
4|Brian Walker|057 Estrada Plains|Mercer Island|98040|+1-839-597-4185|brianwalker@cobuilderav.com|Network Engineer|2018-03-02|118.78|178.17|"Cisco Network Professional|Sonos Certified Installer"|2019-03-02|English
5|Timothy West|00305 Wolf Lodge Apt. 995|Redmond|98052|+1-630-856-4184x9378|timothywest@cobuilderav.com|Project Engineer|2016-02-18|58.08|87.12|"Cisco Network Professional|Low Voltage License"|2020-02-18|English, Mandarin
6|Anthony Juarez|187 Robert Row|Bellevue|98006|6016365103|anthonyjuarez@cobuilderav.com|Lead Technician|2019-01-09|59.87|89.8|CEDIA Certified|2022-01-09|English, Spanish
7|Wayne Anderson|7456 Cardenas Landing|Seattle|98112|(840)962-2155|wayneanderson@cobuilderav.com|Project Engineer|2021-12-04|90.48|135.72|"Lutron Certified Installer|Savant Certified Programmer|Josh.ai Certified|First Aid/CPR|Control4 Gold Certified"|2023-12-04|English, Spanish
8|Timothy Tate|19053 Sarah Rue|Mercer Island|98040|+1-547-804-7476x48455|timothytate@cobuilderav.com|Network Engineer|2017-12-31|83.02|124.53|"KNX Certified|Lutron Certified Installer|HAA Level II"|2019-12-31|English
9|Brent Holloway|350 Rivas Dam|Redmond|98052|355-331-2900x3622|brentholloway@cobuilderav.com|Executive|2021-04-22|81.44|122.16|"Electrical Administrator|Control4 Gold Certified|Cisco Network Professional|Dante Level 3 Certified"|2022-04-22|English
10|Peggy Young|772 Barton Plain|Mercer Island|98040|+1-683-495-8558x5229|peggyyoung@cobuilderav.com|Project Engineer|2023-03-03|80.68|121.02|"KNX Certified|RTI Certified"|2026-03-03|English
